date,point_forecast,lower_90,upper_90,lower_95,upper_95,lower_99,upper_99
2026-01-01,1025.8345829301793,976.1602029783924,1075.5089628819662,966.6439084138667,1085.0252574464919,948.044850507253,1103.6243153531054
2026-02-01,1025.8345829301793,973.1980489896212,1078.4711168707374,963.1142842336207,1088.554881626738,943.4061380279898,1108.2630278323688
2026-03-01,1025.8345829301793,970.3939355046975,1081.275230355661,959.7729769288488,1091.8961889315096,939.0149158750925,1112.6542499852662
2026-04-01,1025.8345829301793,967.7249790024496,1083.944186857909,956.5927191022572,1095.0764467581014,934.8353486140657,1116.833817246293
2026-05-01,1025.8345829301793,965.1733370616788,1086.4958287986797,953.5522501976645,1098.116915662694,930.8394951378002,1120.8296707225584
2026-06-01,1025.8345829301793,962.7247783670236,1088.944387493335,950.6346125568908,1101.0345533034676,927.005069305733,1124.6640965546258
2026-07-01,1025.8345829301793,960.3677354905725,1091.301430369786,947.8260227394353,1103.8431431209233,923.313956606461,1128.3552092538976
2026-08-01,1025.8345829301793,958.0926550320024,1093.576510828356,945.1150971666883,1106.5540686936702,919.7511964817335,1131.917969378625
2026-09-01,1025.8345829301793,955.8915384079194,1095.7776274524392,942.4923049386828,1109.1768609216758,916.3042632057618,1135.3649026545968
2026-10-01,1025.8345829301793,953.7576090846864,1097.9115567756724,939.9495713175505,1111.719594542808,912.9625447741507,1138.7066210862079
2026-11-01,1025.8345829301793,951.6850661387333,1099.9840997216252,937.4799840765211,1114.1891817838375,909.7169569810634,1141.9522088792953
2026-12-01,1025.8345829301793,949.6688982546907,1102.000267605668,935.0775718650261,1116.5915939953325,906.5596521415947,1145.1095137187638
2027-01-01,1025.8345829301793,947.7047409761153,1103.9644248842433,932.7371341124496,1118.9320317479091,903.4837955474065,1148.185370312952
2027-02-01,1025.8345829301793,945.7887655163503,1105.8804003440082,930.4541085380937,1121.2150573222648,900.4833913453073,1151.1857745150514
2027-03-01,1025.8345829301793,943.9175909985349,1107.7515748618237,928.2244665787028,1123.4446992816559,897.5531451057218,1154.1160207546368
2027-04-01,1025.8345829301793,942.0882143592966,1109.5809515010621,926.0446298635591,1125.6245359967995,894.6883540523615,1156.980811807997
2027-05-01,1025.8345829301793,940.2979537559409,1111.3712121044177,923.911402779991,1127.7577630803676,891.884818438278,1159.7843474220806
2027-06-01,1025.8345829301793,938.5444024276037,1113.124763432755,921.8219174955448,1129.8472483648138,889.1387692927506,1162.530396567608
2027-07-01,1025.8345829301793,936.8253907427807,1114.843775117578,919.7735887348264,1131.8955771255323,886.4468089879806,1165.222356872378
2027-08-01,1025.8345829301793,935.1389547249879,1116.5302111353708,917.7640762755134,1133.9050895848452,883.8058619504975,1167.863303909861
2027-09-01,1025.8345829301793,933.4833097542487,1118.18585610611,915.7912536117437,1135.8779122486148,881.213133477869,1170.4560323824896
2027-10-01,1025.8345829301793,931.8568284406385,1119.81233741972,913.8531815888175,1137.815984271541,878.6660750888277,1173.0030907715309
2027-11-01,1025.8345829301793,930.2580218883766,1121.411143971982,911.9480860779861,1139.7210797823725,876.1623551829689,1175.5068106773897
2027-12-01,1025.8345829301793,928.6855237362865,1122.983642124072,910.0743389594875,1141.594826900871,873.6998340482239,1177.9693318121347
